material,A_Z,A_r_s,A_r_val,A_r_s_1,A_r_val_1,A_eps_H,A_eps_L,A_EA,A_IP,A_EN,n_A,n_B,B_Z,B_r_s,B_r_val,B_r_s_1,B_r_val_1,B_eps_H,B_eps_L,B_EA,B_IP,B_EN
Pa2GaGeO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,31.5,0.96285,1.2553999999999998,0.93815,1.1508,-3.1267199369380547,-3.1267199369380547,-0.06012045878725,6.56082457266597,3.2503520569393602
Pa2GaZrO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,35.5,1.3357999999999999,1.09265,1.2735500000000002,1.01875,-2.941924940665135,-2.941924940665135,0.3300585383463095,6.390349441120755,3.36020398973353
Pa2GaNbO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,36.0,1.28965,1.0566499999999999,1.2484000000000002,0.9912000000000001,-3.5047099293144797,-3.5047099293144797,-0.10526183787276303,6.41895878054607,3.156848471336655
Pa2GaMoO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,36.5,1.27055,1.0336,1.2176,0.9653,-3.354089932352295,-3.354089932352295,-0.347267332973205,6.33999128214969,2.99636197458824
Pa2GaTcO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,37.0,1.25495,1.01265,1.1892,0.94365,-3.19001493566148,-3.19001493566148,-0.375350432429605,6.42593523040952,3.02529239898996
Pa2GaRuO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,37.5,1.2395,0.9935499999999999,1.1702,0.9237500000000001,-3.029049938907935,-3.029049938907935,-0.23779608518168602,6.67301662543373,3.21761027012602
Pa2GaRhO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,38.0,1.2248,0.97635,1.1466500000000002,0.90655,-2.97301994003799,-2.97301994003799,-0.04993113901719551,7.025935968275105,3.488002414628955
Pa2GaPdO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,38.5,1.20545,0.9601999999999999,1.1252,0.8914,-3.262694934195615,-2.900439941501835,9.715998570050677e-05,7.367677811417165,3.683887485701435
Pa2GaAgO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,39.0,1.1602000000000001,1.3284,1.10675,1.2258499999999999,-3.40373993135092,-3.40373993135092,-0.36592268262545,6.77369247337484,3.203884895374695
Pa2GaCdO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,39.5,1.1176,1.2858,1.0735000000000001,1.1926,-4.049259918331605,-1.6155349674167259,0.966542140500255,7.49492040885761,4.230731274678935
